title,winery,region,ratings,number of ratings
Pinot Noir 2017,Stanners Vineyard,Canada·Prince Edward County,3.8,36
Sauvignon Blanc 2017,Robertson Winery,South Africa·Robertson,3.5,138
Bordeaux Supérieur 2016,Château de Camarsac,France·Bordeaux Supérieur,3.5,786
Riesling Niersteiner Hipping Spätlese 2013,Seebrich,Germany·Rheinhessen,4,27
Shiraz 2013,Ram's Leap,Australia·New South Wales,3.1,30
Arcangelo Primitivo Salento 2016,Palamà,Italy·Salento,3.6,29
Bourgogne Pinot Noir 2015,Henri Meurgey,France·Bourgogne,3.6,70
Haardt Scheurebe 2015,Müller-Catoir,Germany·Pfalz,3.8,41
Unoaked Chardonnay 2017,Vineland Estates Winery,Canada·Niagara Peninsula,3.6,61
Savigny-les-Beaune 2012,Domaine Pavelot,France·Savigny-lès-Beaune,3.7,172
Origine du Haut Bourg Muscadet Côtes de Grandlieu 2005,Domaine du Haut Bourg,France·Muscadet-Côtes de Grandlieu,3.8,74
Viñas Viejas 2014,Hazaña,Spain·Rioja,3.6,1365
Maija Pinot Noir 2018,Tantalus,Canada·Okanagan Valley,4,31
Colheita Tinto 2016,Mingorra,Portugal·Alentejano,3.6,68
Grande Reserva Branco 2016,Quanta Terra,Portugal·Douro,4,45
Cabernet Franc (Small Lot) 2013,Wente,United States·Livermore Valley,3.8,64
Starsa 2016,Tenuta del Portale,Italy·Basilicata,3.4,31
Vino Nobile di Montepulciano 2013,Antico Colle,Italy·Vino Nobile di Montepulciano,3.8,81
Les Montées de St Lay Côtes de la Charite Pinot Noir 2015,Serge Dagueneau & Filles,France·Côtes de la Charite,3.7,33
Unculin Red 2016,Jose Antonio García,Spain·Bierzo,3.6,140
Schlossböckelheimer In den Felsen Riesling Trocken 2012,Hexamer,Germany·Nahe,3.8,28
Chardonnay 2016,La Belle Angèle,France·Vin de Pays,3.3,135
The Formula Robert's Shiraz 2015,Small Gully,Australia·Barossa Valley,3.9,304
Sauvignon Blanc 2016,Small and Small,New Zealand·Marlborough,4,365
Grande Reserva 2016,Fingerprint,Portugal·Douro,4.2,46
Chenin Blanc 2017,Château de la Mulonniere,France·Loire Valley,3.6,43
Olho no Pé Vinhas Velhas Reserva Tinto 2015,Folias de Baco,Portugal·Douro,4,80
Pinot Blanc 2017,Birgit Braunstein,Austria·Burgenland,3.7,93
Quinta de Silvares Tinto 2015,Anselmo Mendes,Portugal·Dão,3.7,191
Small Lots Two 2016,Sandhill,Canada·Okanagan Valley,4.2,66
Colecção 2014,Zom,Portugal·Douro,4.3,51
Lapa dos Gaivões Escolha 2012,João M Barbosa,Portugal·Alentejano,3.7,29
Cabernet Sauvignon 2015,Culmina,Canada·Golden Mile,3.9,28
Chardonnay 2017,Red Rooster,Canada·British Columbia,3.8,33
Sibling Rivalry White 2016,Henry of Pelham,Canada·Niagara Peninsula,3.3,59
Lupi Reali Organic Montepulciano d'Abruzzo 2015,Valle Reale,Italy·Montepulciano d'Abruzzo,3.4,1026
Mont-Palais Rully Premier Cru 2014,Domaine Jaeger-Defaix,France·Rully Premier Cru,4.2,103
The Pavillion Chenin Blanc 2015,Boschendal,South Africa·Western Cape,3.8,251
Tintillo Malbec - Bonarda 2018,Santa Julia,Argentina·Mendoza,3.3,592
Langhe Nebbiolo 2016,Attilio Ghisolfi,Italy·Langhe,3.8,66
Primera Amante Malbec 2016,SoloContigo,Argentina·Mendoza,3.5,67
Côtes de Bourg 2015,Château Rousselle,France·Côtes de Bourg,3.9,374
Gewürztraminer 2018,Wild Goose,Canada·Okanagan Valley,4.1,70
Pinot Blanc 2017,Domaine Zinck,France·Alsace,3.5,35
Elevation Bo-Teek Vineyard Cabernet 2015,Vineland Estates Winery,Canada·Niagara Peninsula,4,38
Cabernet - Merlot 2018,Henry of Pelham,Canada·Niagara Peninsula,3.7,64
Pinot Noir 2017,Solid Ground,United States·California,4.1,30
Sauvignon Blanc 2018,Château des Charmes,Canada·Niagara-on-the-Lake,3.1,30
Eminente Reserva 2017,Fiuza,Portugal·Tejo,3.5,246
Signature Pinot Noir 2016,Henri Pion,France·Bourgogne,3.7,32
Sauvignon Blanc 2019,Flaxbourne,New Zealand·Marlborough,3.8,348
Trecione Chianti Riserva 2016,Le Calvane,Italy·Chianti,4,35
Recuérdame Sauvignon Blanc 2018,Dominio de la Vega,Spain·Utiel-Requena,3.9,47
Domaine des Billards Saint-Amour 2016,Jean Loron,France·Saint-Amour,3.7,203
Cabernet - Merlot 2017,Cedar Creek Estate Winery,Canada·Okanagan Valley,4,63
Proprietors' Selection Sauvignon Blanc N.V.,Jackson-Triggs,Canada·British Columbia,3.1,837
Lucky You 2018,Laurent Saillard,France·Vin de France,3.8,121
Second Innings Malbec 2017,Bleasdale,Australia·Langhorne Creek,3.8,240
Pinot Grigio 2018,Sacchetto,Italy·Venezia Giulia,3.4,79
Block 16 Old Vines Trebbiano 2019,Hester Creek,Canada·Okanagan Valley,4.2,27
Character Red Blend 2018,Hester Creek,Canada·Golden Mile,3.6,71
Cabernet Sauvignon 2018,Château des Charmes,Canada·Niagara-on-the-Lake,3.5,27
Syrah 2017,Intellego,South Africa·Swartland,3.6,46
Cabernet Sauvignon 2018,Protea,South Africa·Western Cape,3.4,101
Riesling 2017,Benjamin Bridge,Canada·Nova Scotia,3.7,30
Quarry Road Vineyard Riesling 2018,Tawse,Canada·Niagara Peninsula,4,31
Shiraz Shiraz Shiraz 2017,Tscharke,Australia·Barossa Valley,3.9,104
Coastal Estates Sauvignon Blanc 2016,Beaulieu Vineyard (BV),United States·California,3.2,27
Saint Georges Old Vines Zinfandel 2015,Birichino,United States·Central Coast,3.9,69
Ghemme 2013,Torraccia del Piantavigna,Italy·Ghemme,3.7,122
Tinto 2012,Cortes de Cima,Portugal·Alentejano,3.9,1786
Syrah 2015,Rancho Sisquoc,United States·Santa Barbara County,4,48
Tête de Cuvée Côtes de Bourg 2017,Château la Grolet,France·Côtes de Bourg,3.6,92
Big Bang Theory 2018,Blasted Church,Canada·Okanagan Valley,3.8,91
Les Greilles 2018,Causse Marines,France·Gaillac,3.9,29
Rendez-Vous 2017,Viranel,France·Languedoc-Roussillon,3.6,43
Chianti Classico 2015,Castello di Monsanto,Italy·Chianti Classico,3.7,509
Crozes-Hermitage 2017,Les Vins de Vienne - Cuilleron-Gaillard-Villard,France·Crozes-Hermitage,4,96
